,Unnamed: 0,ID,NAME,PARENT_ID,LOGIN,COL_754,COL_755,COL_756,COL_757,COL_758,COL_759,COL_760,COL_761,COL_762,COL_763,COL_764,COL_765,COL_766,COL_767,COL_769,COL_770,COL_771,COL_772,COL_775,COL_781,COL_782,COL_2156,COL_2463,COL_3163,COL_3243,COL_3363,COL_3468,COL_103506
95,95,1501631.0,БОЛЬШАЯ КОСИНСКАЯ 43,,WS,,,1933,,2048798,1,3,1,217,189,28,,,,2048931,22728486,0,0,,22289205,50144,,22741963,58761330,,0,,
96,96,1501655.0,ФРЯЗЕВСКАЯ 15,,WS,,,1971,,2048759,14,1,98,4285,4285,0,,,,179625090,22728486,2,0,,22289201,27717,,42875644,58761330,45063584,0,,
97,97,1501657.0,ВЕШНЯКОВСКАЯ 12,,operator2,,,1989,,2048777,17,4,270,15054,15004,50,,,,2048929,22728486,4,4,,22289201,3791,,42875644,58761330,45063585,0,,
99,99,1501668.0,МАРТЕНОВСКАЯ 8,,404120001,,,1959,,2048798,5,3,45,2373,2373,0,,,,179625102,22728486,0,0,22289163,22289205,13835,,42875644,58761330,45063584,0,,
102,102,1501679.0,НОВОГИРЕЕВСКАЯ 10,,404120001,,,1961,,2048912,5,3,58,2505,2428,77,,,,179625102,22728486,0,0,22289162,22289204,16450,,42875644,58761330,45063584,0,,
103,103,1501681.0,ПЕРОВСКАЯ 7,,404120001,,,1962,,2048912,5,4,77,3378,3201,177,,,,179625102,22728486,0,0,22289162,22289204,19428,,42875644,58761330,45063584,0,,
104,104,1501684.0,ГАРАЖНАЯ 3,,404150001,,,1963,,2048912,5,3,60,2511,2511,0,,,,179625102,22728486,0,0,22289163,22289201,5192,,42875644,58761330,45063584,0,,
105,105,1501699.0,МАЛЕНКОВСКАЯ 7,,operator2,,,1927,,2048912,6,4,44,3428,2773,655,,,,179625102,22728486,4,0,22289163,22289204,13732,,42875644,58761330,45063584,0,,
108,108,1501712.0,МАЯ 17,,404040001,,,1959,,2048912,4,3,48,2531,2035,496,,,,179625102,22728486,0,0,22289163,22289204,6335,,42875644,58761330,45063584,0,,
109,109,1501715.0,"Дом по адресу Владимирская 3-я ул., д.4",,404120001,,,1966,,2048912,9,3,108,5517,4493,1024,,,,179625102,22728486,3,0,,22289201,4100,,42875644,58761330,45063584,0,,
110,110,1501721.0,МИРОНОВСКАЯ 28,,404150001,,,1964,,2048752,5,3,60,2644,2509,135,,,,179625102,22728486,0,0,22289163,22289201,14598,,42875644,58761330,45063584,0,,
111,111,1501731.0,ПЕРВОМАЙСКАЯ 8,,404070001,,,1963,,2048763,8,3,86,4493,3559,934,,,,179625102,22728486,3,0,22289162,22289201,19153,,42875644,58761330,45063584,0,,
112,112,1501733.0,"Дом по адресу Парковая 13-я ул., д.35, к.5",,404140001,,,1963,,2048755,5,4,80,3587,3566,21,,,,2048929,22728486,0,0,22289163,22289201,18874,,42875644,58761330,45063584,0,,
113,113,1501734.0,ВЕШНЯКОВСКАЯ 26,,WS,,,1972,,2048759,14,1,98,4264,4264,0,,,,179625090,22728486,2,0,,22289201,3806,,42875644,58761330,45063585,0,,
114,114,1501736.0,КРАСНОСОЛНЕЧНАЯ 8,,WS,,,1897,,2048798,1,2,2,125,125,0,,,,2048931,22728486,0,0,,22289204,50375,,22741963,58761330,,0,,
115,115,1501740.0,"Дом по адресу Парковая 15-я ул., д.48",,404140001,,,1962,,2048755,5,5,100,4485,4480,5,,,,2048929,22728486,0,0,22289163,22289201,18965,,42875644,58761330,45063584,0,,
116,116,1501743.0,КРАСКОВСКАЯ 52,,WS,,,1993,,2048798,2,1,1,89,89,0,,,,179625102,22728486,0,0,,22289205,240063,,22741963,58761330,,0,,
117,117,1501747.0,СОКОЛЬНИЧЕСКИЙ ВАЛ 48,,adm_2019_08_08,,,1980,,2048756,16,2,124,8332,7879,453,,,,2048929,22728486,2,2,,22289201,24242,,42875644,58761330,45063585,0,,
118,118,1501752.0,НОВОГИРЕЕВСКАЯ 14,,404120001,,,1958,,2048912,5,4,80,4970,4970,0,,,,179625102,22728486,0,0,22289162,22289204,16458,,42875644,58761330,45063584,0,,
119,119,1501758.0,ФРЯЗЕВСКАЯ 11,,adm_2019_08_08,,,1968,,56183254,12,1,96,3669,3669,0,,,,179625090,22728486,2,0,,22289201,27710,,42875644,58761330,45063585,0,,
122,122,1501767.0,РЕУТОВСКАЯ 14,,operator2,,,1972,,56183256,9,4,144,7211,7211,0,,,,2048929,22728486,4,0,,22289201,21765,,42875644,58761330,45063584,0,,
123,123,1501773.0,"Дом по адресу Владимирская 1-я ул., д.18, к.5",,404120001,,,1970,,2048763,9,1,72,3022,3008,14,,,,179625102,22728486,1,0,,22289201,3997,,42875644,58761330,45063584,0,,
124,124,1501781.0,"Дом по адресу Парковая 13-я ул., д.27, к.4",,404140001,,,1962,,2048912,6,4,84,4309,3592,717,,,,179625102,22728486,4,0,22289163,22289201,18857,,42875644,58761330,45063585,0,,
127,127,1501805.0,ПОСЕЛКОВАЯ 49,,WS,,,1928,,2048798,2,4,5,481,481,0,,,,2048931,22728486,0,0,,22289204,49835,,22741963,58761330,,0,,
128,128,1501830.0,"Дом по адресу Парковая 16-я ул., д.19, к.1",,404030001,,,1969,,2048758,12,2,168,7329,7329,0,,,,179625090,22728486,4,0,,22289201,18996,,42875644,58761330,45063584,0,,
130,130,1501838.0,ГОРЫ 21,,404150001,,,1957,,2048912,5,3,48,4047,3272,775,,,,179625102,22728486,0,0,22289162,22289204,26937,,42875644,58761330,45063584,0,,
131,131,1501843.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 26,,404130001,,,1965,,2048912,5,4,79,3359,3359,0,,,,179625102,22728486,0,0,22289163,22289201,28602,,42875644,58761330,45063584,0,,
132,132,1501851.0,УТРЕННЯЯ 18,,WS,,,1969,,56183254,12,1,84,3624,3624,0,,,,179625090,22728486,2,0,,22289201,26956,,42875644,58761330,45063584,0,,
133,133,1501852.0,НИКОЛАЯ ХИМУШИНА 11,,WS,,,1961,,2048912,5,3,45,2433,2425,8,,,,179625102,22728486,0,0,22289162,22289205,27921,,42875644,58761330,45063584,0,,
135,135,1501871.0,ХАЛТУРИНСКАЯ 7А,,404130001,,,1964,,2048912,5,2,40,1627,1627,0,,,,179625090,22728486,0,0,22289163,22289214,27755,,42875644,58761330,45063584,0,,
136,136,1501888.0,МАРТЕНОВСКАЯ 4,,404120001,,,2006,,2048874,14,5,216,11260,10793,467,,,,2048929,22728486,5,5,,22289201,250024,,42875644,58761330,45063584,0,,
137,137,1501899.0,МАЯ 14,,404040001,,,1957,,2048912,4,2,24,3063,1821,1242,,,,179625102,22728486,0,0,22289163,22289204,6331,,42875644,58761330,45063584,0,,
138,138,1501903.0,НИКОЛАЯ ХИМУШИНА 21,,WS,,,1960,,2048912,5,3,60,2505,2497,8,,,,179625102,22728486,0,0,22289162,22289204,27938,,42875644,58761330,45063584,0,,
140,140,1501914.0,"Дом по адресу Парковая 16-я ул., д.55, к.2",,WS,,,1966,,2048787,9,5,179,8478,8478,0,,,,2048929,22728486,5,0,,22289201,19017,,42875644,58761330,45063585,0,,
141,141,1501920.0,МУРОМСКАЯ 57,,404080001,,,1959,,2048798,1,2,2,134,115,19,,,,179625119,22728486,0,0,,22289205,15363,,42875644,58761330,45063584,0,,
143,143,1501953.0,КРАСКОВСКАЯ 116,,WS,,,1915,,2048798,1,2,1,72,72,0,,,,2048931,22728486,0,0,,22289205,49923,,22741963,58761330,,0,,
144,144,1501954.0,ГОРЫ 21,,404150001,,,1970,,2048758,12,1,80,4854,3472,1382,,,,179625090,22728486,2,0,,22289201,24191,,42875644,58761330,45063584,0,,
145,145,1501962.0,"Дом по адресу Владимирская 2-я ул., д.46, к.1",,404120001,,,1979,,2048798,12,1,71,5594,3506,2088,,,,179625102,22728486,1,1,,22289201,4085,,42875644,58761330,45063584,0,,
146,146,1501968.0,"Дом по адресу Парковая 7-я ул., д.31, к.1",,404140001,,,1959,,2048912,5,5,75,4257,3723,534,,,,2048929,22728486,0,0,22289163,22289205,18690,,42875644,58761330,45063584,0,,
147,147,1501970.0,МИХЕЛЬСОНА 18,,WS,,,1944,,2048798,1,2,1,54,54,0,,,,2048931,22728486,0,0,,22289204,49603,,22741963,58761330,,0,,
148,148,1501973.0,ХАЛТУРИНСКАЯ 9,,404130001,,,1971,,2048758,12,1,96,3640,3628,12,,,,179625090,22728486,2,0,,22289201,27761,,42875644,58761330,45063585,0,,
149,149,1501978.0,ПЕРВОМАЙСКАЯ 5,,404070001,,,1956,,2048798,5,3,56,5568,3755,1813,,,,179625102,22728486,3,0,22289162,22289204,19149,,42875644,58761330,45063584,0,,
150,150,1501980.0,ГОРЫ 21,,404150001,,,1961,,2048912,5,3,60,2614,2554,60,,,,179625107,22728486,0,0,22289163,22289201,24155,,42875644,58761330,45063584,0,,
151,151,1501986.0,ЛЫТКАРИНСКАЯ 35,,adm20180821,Нет техпаспорта МосгорБТИ,,1950,,2048798,1,5,5,155,155,0,,,,2048931,22728486,0,0,,22289206,13466,,42875644,41321872,,0,,
152,152,1501995.0,"Дом по адресу Парковая 11-я ул., д.1/89, к.2",,WS,,,1968,,2048758,12,1,84,3643,3643,0,,,,179625090,22728486,2,0,,22289201,18781,,42875644,58761330,45063584,0,,
153,153,1502000.0,КРАСКОВСКАЯ 133,,WS,,,1922,,2048798,1,1,1,57,57,0,,,,2048931,22728486,0,0,,22289204,49954,,22741963,58761330,,0,,
155,155,1502007.0,БРАТСКАЯ 1/45,,404120001,,,1964,,2048912,5,4,75,3475,3255,220,,,,179625102,22728486,0,0,22289163,22289204,2758,,42875644,58761330,45063584,0,,
156,156,1502014.0,СНАЙПЕРСКАЯ 10,,WS,,,1970,,2048781,9,8,287,14326,14326,0,,,,2048929,22728486,8,0,,22289201,24040,,42875644,58761330,45063584,0,,
158,158,1502024.0,СТАЛЕВАРОВ 18,,WS,,,1972,,2048851,12,1,81,4453,3466,987,,,,179625090,22728486,2,0,,22289201,24607,,42875644,58761330,45063584,0,,
161,161,1502034.0,"Дом по адресу Парковая 14-я ул., д.5",,404030001,,,1952,,2048912,5,2,30,1474,1474,0,,,,179625102,22728486,0,0,22289162,22289204,18890,,42875644,58761330,45063584,0,,
162,162,1502039.0,КРАСКОВСКАЯ 48,,WS,,,1962,,2048798,1,1,1,13,13,0,,,,179625102,22728486,0,0,,22289205,50030,,22741963,58761330,,0,,
163,163,1502043.0,КОРОЛЕНКО 1,,WS,,,1963,,2048752,5,3,60,2615,2498,117,,,,179625102,22728486,0,0,22289162,22289201,11068,,42875644,58761330,45063584,0,,
164,164,1502061.0,ПЕХОРСКАЯ 23,,WS,,,2006,,2048798,1,2,1,59,48,11,,,,179625099,22728486,0,0,,22289204,260027,,22741963,58761330,,0,,
168,168,1502118.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 5,,404130001,,,1962,,2048755,5,5,99,4475,4422,53,,,,2048929,22728486,0,0,22289162,22289201,28548,,42875644,58761330,45063584,0,,
169,169,1502126.0,БОРИСОВСКАЯ 16,,404150001,,,1934,,2048912,5,3,30,2712,2559,153,,,,179625102,22728486,0,0,22289163,22289204,2495,,42875644,58761330,45063584,0,,
170,170,1502131.0,КОСИНСКАЯ 20/17,,WS,,,1971,,2048781,9,4,144,7258,7258,0,,,,2048929,22728486,4,0,,22289201,11121,,42875644,58761330,45063585,0,,
171,171,1502149.0,ПЕРВОМАЙСКАЯ 46,,404070001,,,1954,,2048912,5,4,60,5194,3774,1420,,,,179625102,22728486,0,0,22289162,22289204,19177,,42875644,58761330,45063584,0,,
172,172,1502152.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 5,,404130001,,,1965,,2048912,9,9,288,16176,12925,3251,,,,179625102,22728486,9,0,,22289201,28546,,42875644,58761330,45063585,0,,
173,173,1502163.0,ПЕРОВСКАЯ 29,,404120001,,,1985,,2048779,12,2,95,5433,5419,14,,,,2048929,22728486,4,0,,22289201,19454,,42875644,58761330,45063584,0,,
174,174,1502165.0,ЗАОЗЕРНАЯ 20,,WS,,,1902,,2048798,1,2,1,72,72,0,,,,2048931,22728486,0,0,,22289205,49700,,22741963,58761330,,0,,
176,176,1502172.0,КРАСНОСОЛНЕЧНАЯ 10,,404080001,,,1961,,2048798,2,4,5,160,160,0,,,,2048932,22728486,0,0,,22289205,11695,,42875644,58761330,45063584,0,,
178,178,1502180.0,"Дом по адресу Прядильная 3-я ул., д.14, к.3",,operator2,,,1960,,2048912,5,2,40,1893,1565,328,,,,179625102,22728486,0,0,22289163,22289205,21169,,42875644,41321872,45058207,0,Распоряжение МЖИ №12655-РЛ дата 21.09.2022,
179,179,1502182.0,НИКОЛАЯ ХИМУШИНА 5,,WS,,,1962,,2048755,5,4,80,3512,3502,10,,,,2048929,22728486,0,0,22289163,22289201,27915,,42875644,58761330,45063584,0,,
